Code,Courses,Section,Level,Day,Time,Room,Instructor
DSN1566,Typography 2,010,2,Monday,15:30-18:30,N216,Andrea Emery
ENL1950A,Communications for Graphic Design,300,2,Wednesday,09:00-11:00,B182,Kate Corsten
ENL1950A,Communications for Graphic Design,310,2,Thursday,12:00-14:00,A2007,Kate Corsten
DSN1567,Computer Graphics 2,010,2,Wednesday,12:30-15:30,N216,Travis Gobeil
DSN1712,Web Design 1,010,2,Thursday,08:00-11:00,N214,Wendy Warren
DSN1565,Graphic Design 2,010,2,Friday,08:00-11:00,N216,David Bromley
DSN1698,Concept Sketching 2,010,2,Friday,12:00-14:00,N103,Andrea Emery
DSN1567,Computer Graphics 2,020,2,Monday,12:30-15:30,N216,Travis Gobeil
DSN1565,Graphic Design 2,020,2,Tuesday,11:00-14:00,N214,Andrea Emery
DSN1566,Typography 2,020,2,Tuesday,16:00-19:00,N216,Andrea Emery
DSN1698,Concept Sketching 2,020,2,Thursday,08:00-10:00,N103,Andrea Emery
DSN1712,Web Design 1,020,2,Friday,08:00-11:00,N214,Wendy Warren
DSN1541,Computer Graphics 4,010,4,Monday,09:00-12:00,N219,Travis Gobeil
DSN1727,UX/UI Design 2,010,4,Monday,12:30-15:30,N219,Angela Fahlman
DSN1669,Motion Graphics 2,010,4,Tuesday,13:00-16:00,N216,Andrew Miller
DSN1714,Web Design 3,010,4,Wednesday,08:00-11:00,N214,Wendy Warren
DSN1540,Typography 4,010,4,Thursday,11:00-14:00,N214,Alain Paradis
DSN1539,Graphic Design 4,010,4,Friday,12:00-15:00,N216,David Bromley
DSN1539,Graphic Design 4,020,4,Monday,08:00-11:00,N216,David Bromley
DSN1714,Web Design 3,020,4,Tuesday,08:00-11:00,N214,Wendy Warren
DSN1541,Computer Graphics 4,020,4,Wednesday,09:00-12:00,N219,Travis Gobeil
DSN1669,Motion Graphics 2,020,4,Thursday,09:00-12:00,N216,Andrew Miller
DSN1727,UX/UI Design 2,020,4,Friday,08:00-11:00,N219,Angela Fahlman
DSN1540,Typography 4,020,4,Friday,12:00-15:00,N214,Alain Paradis
DSN1714,Web Design 3,030,4,Monday,12:00-15:00,N214,Wendy Warren
DSN1540,Typography 4,030,4,Monday,16:30-19:30,N214,Alain Paradis
DSN1669,Motion Graphics 2,030,4,Tuesday,09:00-12:00,N216,Andrew Miller
DSN1541,Computer Graphics 4,030,4,Thursday,08:30-11:30,N219,Angela Fahlman
DSN1539,Graphic Design 4,030,4,Thursday,12:00-15:00,N216,David Bromley
DSN1727,UX/UI Design 2,030,4,Friday,12:00-15:00,N219,Angela Fahlman
DSN1690,Fieldwork and Professional Practice,010,6,Monday,12:30-14:30,T207,Alain Paradis
DSN1685,Computer Graphics 6,010,6,Tuesday,18:00-21:00,N214,Anish Parmar
DSN1689,Motion Graphics 4,010,6,Wednesday,11:00-14:00,N214,Andrew Miller
DSN1729,UX/UI Design 4,010,6,Wednesday,18:00-21:00,N214,Alyster Mahoney
DSN1684,Graphic Design 6,010,6,Thursday,15:00-18:00,N216,Jamie McLennan
DSN1689,Motion Graphics 4,020,6,Monday,09:00-12:00,N214,Andrew Miller
DSN1684,Graphic Design 6,020,6,Wednesday,14:00-17:00,N214,Jamie McLennan
DSN1685,Computer Graphics 6,020,6,Wednesday,18:00-21:00,N216,Anish Parmar
DSN1729,UX/UI Design 4,020,6,Thursday,18:00-21:00,N214,Alyster Mahoney
DSN1731,Innovative Strategies,350,6,ASYNC,ASYNC,ASYNC,Michael Ball